,word,x,y
186,Mumbai,1.1485079322953384,2.255347324301339
187,Delhi,0.4137787631717578,0.026866104159053033
188,First,0.3701689357287822,-7.8078895845198435
189,published,-4.676249541884576,-6.130237047348518
190,Tara,-5.512954191253729,7.091566795108959
191,Published,-1.4755982906985952,1.8892899646883805
192,Copyright,6.4738733259622805,-1.9215825501372912
193,©,-3.7734218078963924,-0.5345817042708233
194,Tripathi,-4.9700270356479335,4.321128611102554
195,All,-7.454035921240085,-5.487437126519655
196,rights,4.989022056565425,6.153211505359213
197,reserved,-6.598499142163484,-0.4847465161859493
198,asserts,-2.087201786933788,1.629828521636386
199,moral,-8.642975976901386,0.3565856704925726
200,right,-8.292503418894158,-4.144793742527728
201,identified,-2.4428214698450144,-0.8229174116281426
202,work,-7.2291410745446125,-4.656170037061598
203,This,-8.469498528609106,-6.040500648927175
204,Names,0.050497597674475515,-6.454907565389257
205,characters,6.592058764069074,5.30219680792233
206,places,7.071958857372439,6.536086661556821
207,incidents,1.9506140063038195,6.81934390231833
208,either,-6.596029447263637,-4.098312136874255
209,product,-3.409926646853161,-3.269568113549857
210,used,-6.702871440946746,-5.957657027236871
211,fictitiously,-4.3124510218287275,0.20462150771836235
212,resemblance,-4.423700582894071,-2.9297571562189675
213,actual,-6.588726289138524,-0.46416370348260144
214,person,-6.844092866661649,-5.689918386377226
215,living,5.088450978927461,3.2687417782045056
216,dead,5.9605887688331585,2.4513282831499703
217,events,-8.884027050238286,3.3082280059841302
218,locales,-4.279798786173292,1.4359465647890441
219,entirely,2.3931561890138067,7.985220714353741
220,coincidental,5.7648608290186365,-5.5962977221750405
221,Cover,5.206735588418584,-6.513443018522643
222,Design,4.79288105259373,-4.498104734809994
223,Rashmi,1.2584300311162622,5.332660618347124
224,Pusalkar,5.669138521351056,7.1959945457694
225,Photo,1.6350588212349346,1.4144961676320629
226,Kailash,5.032033184043121,6.399106397291812
227,Mansarovar,8.749453801505176,5.265647253747212
228,sold,-4.2738025385127685,-1.4232674613625893
229,subject,0.8376611379736894,8.811781853738898
230,condition,-8.648421104402438,0.8058701814359324
231,shall,-3.8994179180787367,10.851639976515903
232,way,-8.066200138421454,-6.244963126660744
233,trade,-4.868759981749832,4.455061742246174
234,otherwise,-6.261726708691678,6.119366788362676
235,lent,-3.2897088537562977,-6.909265596792652
236,resold,-3.2632355350222033,-6.348889471436032
237,hired,-3.843454951541387,-1.1353040172660078
238,circulated,-1.2996913075378715,2.0483512915834683
239,without,-6.973252265948754,-5.845941011959217
240,prior,-0.5776120000497297,8.124520899537854
241,consent,-4.134585600171074,0.0757567386842741
242,form,5.545034809474056,2.866756308336344
243,binding,2.327063436494326,6.053727511475386
244,similar,-6.671874221620817,6.349734382590368
245,including,-5.581127333189543,9.15843957766289
246,imposed,3.1227993684865134,5.583335453337119
247,subsequent,1.533028984796501,5.991855388382737
248,purchaser,-4.495661792261968,0.5057455929993168
249,limiting,-1.2452781423661503,-5.381086198900434
250,copyright,4.863009590748148,7.185153026815069
251,publication,-3.6922163388292115,1.587360901338304
252,may,-8.774193997829807,-5.909109229862195
253,reproduced,3.10306467480594,5.672303500069682
254,stored,-0.5803301183333965,6.49828516346398
255,introduced,-0.6589593759568875,7.424370440700975
256,retrieval,-3.509949761203424,1.882282280190309
257,system,-6.65868476657898,-4.806528793362845
258,transmitted,3.3944668405006824,4.654434980077586
259,means,-7.414162297861133,-3.638530271221669
260,electronic,3.885723954843222,0.9206637307840352
261,mechanical,3.7887546029985115,1.2697329344096508
262,photocopying,3.962489128232658,0.013702526724007933
263,recording,-3.0944645919271982,1.0161365924438643
264,permission,-10.34160036475187,0.8685150551967152
265,owner,7.360770097024706,5.779996198098635
266,except,4.86504692508413,3.5872846410910726
267,case,-7.308315995278814,-3.0280367715819163
268,brief,-7.177863199685689,1.4721023327525817
269,quotations,0.9297648206805972,6.9843814802710815
270,embodied,0.6346343509794715,8.340665064729007
271,critical,4.479920847724642,7.425177957919727
272,articles,3.325041248669257,4.548254395377122
273,appropriate,-0.0659729324772559,8.022308065601635
274,citations,3.300416237559427,1.0718306003878493
